id;percentual_desconto;valor_final;data_criacao;forma_pagamento;estado
1;43616;36958;2022-04-27T08:55:44;PIX;CANCELADO
2;96585;42765;2022-04-26T20:20:25;PIX;PAGO
3;84490;25700;2022-04-26T13:57:51;CARTAO_DEBITO;PAGO
4;84564;18932;2022-04-27T03:26:18;PIX;CRIADO
5;5412;28443;2022-04-27T06:38:49;CARTAO_CREDITO;CANCELADO
6;818;68504;2022-04-26T18:33:17;PIX;CRIADO
7;32409;39079;2022-04-27T06:14:45;BOLETO;CRIADO
8;57167;25330;2022-04-26T15:55:44;BOLETO;CANCELADO
9;55547;69937;2022-04-27T09:27:02;CARTAO_CREDITO;PAGO
10;88884;31319;2022-04-26T18:57:53;PIX;EXPIRADO
