id;titulo;duracao_ch;descricao;valor;criacao
1;Goiás Alameda Rodovia;85631;Pizza invoice marinho;30269;2022-04-27T04:09:46
2;Upgradable Ilhas Grosso;78420;Liechtenstein hack generate;71505;2022-04-26T18:54:45
3;Multi-layered Pequeno;52059;Administrator leading;4445;2022-04-27T09:53:16
4;Borracha 6th;42153;neutral;57287;2022-04-26T14:17:08
5;Impressionante Toalhas auxiliary;21312;Queijo Solomon Industrial;67786;2022-04-26T23:31:53
6;matrices generation;94865;incentivize;62306;2022-04-26T23:16:54
7;Genérico Travessa Avon;28044;Avenida Inteligente;7618;2022-04-26T17:17:33
8;multi-byte;55095;Rodovia magnetic Algéria;48741;2022-04-26T23:13:20
9;Azerbaijanian Denar Eletrônicos;17833;Assistant;27927;2022-04-26T16:25:31
10;back-end systematic Legacy;60291;product access;6011;2022-04-27T07:59:20
